"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.answertype","Answer.Q1Url","Approve","Reject"
"24RU8P9Y38TWCXCTW9PIT0JTKEWHYR","207NLVWJ5OPBGYP63NPM3B7EPDX2U3","Write a short question that is answered by the provided response","If the provided response is ""event"", write a question that is answered by an event.","data collection, short answer, writing","$0.02","Tue Sep 25 02:52:52 GMT 2012","10","BatchId:917451;","1800","604800","Wed Sep 26 00:16:49 GMT 2012","","","21DPHIT3HVWABKCW62AQ9172CNHCKC","A111JI6APXR6QV","Approved","Tue Sep 25 13:13:51 GMT 2012","Tue Sep 25 13:15:04 GMT 2012","Tue Oct 02 06:15:04 PDT 2012","Tue Sep 25 17:02:19 PDT 2012","","","73","100% (3/3)","100% (3/3)","100% (3/3)","consumer product","What can be used to hear music, when you are travelling for long hours?"
"24RU8P9Y38TWCXCTW9PIT0JTKEWHYR","207NLVWJ5OPBGYP63NPM3B7EPDX2U3","Write a short question that is answered by the provided response","If the provided response is ""event"", write a question that is answered by an event.","data collection, short answer, writing","$0.02","Tue Sep 25 02:52:52 GMT 2012","10","BatchId:917451;","1800","604800","Wed Sep 26 00:16:49 GMT 2012","","","24QT3DHJHP4BTDE68DZRZX9XGUHV2E","ABVXUD6GJ081S","Approved","Tue Sep 25 17:05:09 GMT 2012","Tue Sep 25 17:05:47 GMT 2012","Tue Oct 02 10:05:47 PDT 2012","Tue Sep 25 17:02:21 PDT 2012","","","38","100% (3/3)","100% (3/3)","100% (3/3)","consumer product","What is the best selling single cup coffee maker?"
"24RU8P9Y38TWCXCTW9PIT0JTKEWHYR","207NLVWJ5OPBGYP63NPM3B7EPDX2U3","Write a short question that is answered by the provided response","If the provided response is ""event"", write a question that is answered by an event.","data collection, short answer, writing","$0.02","Tue Sep 25 02:52:52 GMT 2012","10","BatchId:917451;","1800","604800","Wed Sep 26 00:16:49 GMT 2012","","","2I64BLYHVI444SWAP9ZDUEZSOOGV1A","A34I3LFXXZBI8E","Approved","Tue Sep 25 21:41:42 GMT 2012","Tue Sep 25 21:41:59 GMT 2012","Tue Oct 02 14:41:59 PDT 2012","Tue Sep 25 17:02:20 PDT 2012","","","17","100% (3/3)","100% (3/3)","100% (3/3)","consumer product","What product can be used to remove grease from clothing?"
"24RU8P9Y38TWCXCTW9PIT0JTKEWHYR","207NLVWJ5OPBGYP63NPM3B7EPDX2U3","Write a short question that is answered by the provided response","If the provided response is ""event"", write a question that is answered by an event.","data collection, short answer, writing","$0.02","Tue Sep 25 02:52:52 GMT 2012","10","BatchId:917451;","1800","604800","Wed Sep 26 00:16:49 GMT 2012","","","2U1RJ85OZIZEXM40T1FOX5EW2AH9X3","A1UL7GL7WD2ETF","Approved","Tue Sep 25 04:17:21 GMT 2012","Tue Sep 25 04:17:30 GMT 2012","Mon Oct 01 21:17:30 PDT 2012","Tue Sep 25 17:02:21 PDT 2012","","","9","100% (5/5)","100% (5/5)","100% (5/5)","consumer product","What is the name of Microsoft's video game console?"
"2IG7QEOZFYQSHCMJQ36XYDS4SABGJY","207NLVWJ5OPBGYP63NPM3B7EPDX2U3","Write a short question that is answered by the provided response","If the provided response is ""event"", write a question that is answered by an event.","data collection, short answer, writing","$0.02","Tue Sep 25 02:52:52 GMT 2012","10","BatchId:917451;","1800","604800","Wed Sep 26 00:16:50 GMT 2012","","","291O9Z6KW4ZMQZB7V6CFX0ON0965EK","ABVXUD6GJ081S","Approved","Tue Sep 25 17:02:48 GMT 2012","Tue Sep 25 17:04:09 GMT 2012","Tue Oct 02 10:04:09 PDT 2012","Tue Sep 25 17:02:20 PDT 2012","","","81","100% (3/3)","100% (3/3)","100% (3/3)","human body part","Where in the human body is the largest concentration of muscles?"
"2IG7QEOZFYQSHCMJQ36XYDS4SABGJY","207NLVWJ5OPBGYP63NPM3B7EPDX2U3","Write a short question that is answered by the provided response","If the provided response is ""event"", write a question that is answered by an event.","data collection, short answer, writing","$0.02","Tue Sep 25 02:52:52 GMT 2012","10","BatchId:917451;","1800","604800","Wed Sep 26 00:16:50 GMT 2012","","","2M8J2D21O3W5DHU9T4JI9KYE2ZIE86","A1T5ICVUJ9RP8H","Approved","Tue Sep 25 21:38:27 GMT 2012","Tue Sep 25 21:40:09 GMT 2012","Tue Oct 02 14:40:09 PDT 2012","Tue Sep 25 17:02:20 PDT 2012","","","102","100% (2/2)","100% (2/2)","100% (2/2)","human body part","Where is the Achilles tendon?"
"2IG7QEOZFYQSHCMJQ36XYDS4SABGJY","207NLVWJ5OPBGYP63NPM3B7EPDX2U3","Write a short question that is answered by the provided response","If the provided response is ""event"", write a question that is answered by an event.","data collection, short answer, writing","$0.02","Tue Sep 25 02:52:52 GMT 2012","10","BatchId:917451;","1800","604800","Wed Sep 26 00:16:50 GMT 2012","","","2N0XMB3Q39Z0R6OJSLK4LVST85RTI0","A111JI6APXR6QV","Approved","Tue Sep 25 13:07:10 GMT 2012","Tue Sep 25 13:08:22 GMT 2012","Tue Oct 02 06:08:22 PDT 2012","Tue Sep 25 17:02:21 PDT 2012","","","72","100% (3/3)","100% (3/3)","100% (3/3)","human body part","Which organ helps you to see?"
"2IG7QEOZFYQSHCMJQ36XYDS4SABGJY","207NLVWJ5OPBGYP63NPM3B7EPDX2U3","Write a short question that is answered by the provided response","If the provided response is ""event"", write a question that is answered by an event.","data collection, short answer, writing","$0.02","Tue Sep 25 02:52:52 GMT 2012","10","BatchId:917451;","1800","604800","Wed Sep 26 00:16:50 GMT 2012","","","2U4J011K274JN9EG0LS8U46UAS9BDE","A1UL7GL7WD2ETF","Approved","Tue Sep 25 04:16:36 GMT 2012","Tue Sep 25 04:17:15 GMT 2012","Mon Oct 01 21:17:15 PDT 2012","Tue Sep 25 17:02:21 PDT 2012","","","39","100% (5/5)","100% (5/5)","100% (5/5)","human body part","What is the name of the part of your body that connects your foot to your leg?"
"2IG7QEOZFYQSHCMJQ36XYDS4SABGJY","207NLVWJ5OPBGYP63NPM3B7EPDX2U3","Write a short question that is answered by the provided response","If the provided response is ""event"", write a question that is answered by an event.","data collection, short answer, writing","$0.02","Tue Sep 25 02:52:52 GMT 2012","10","BatchId:917451;","1800","604800","Wed Sep 26 00:16:50 GMT 2012","","","2X5WIOV1S7SNJDN6YGUYKZ8NL5LZKG","A34I3LFXXZBI8E","Approved","Tue Sep 25 21:42:14 GMT 2012","Tue Sep 25 21:44:55 GMT 2012","Tue Oct 02 14:44:55 PDT 2012","Tue Sep 25 17:02:20 PDT 2012","","","161","100% (3/3)","100% (3/3)","100% (3/3)","human body part","Where would you get a plantar's wart?"
"2Y9RLFQ0ONNV7HVAL30ENRB7GL4SJT","207NLVWJ5OPBGYP63NPM3B7EPDX2U3","Write a short question that is answered by the provided response","If the provided response is ""event"", write a question that is answered by an event.","data collection, short answer, writing","$0.02","Tue Sep 25 02:52:52 GMT 2012","10","BatchId:917451;","1800","604800","Wed Sep 26 00:16:50 GMT 2012","","","22LLB3L0FBJ9YO59IYIE2E5R259LXP","A111JI6APXR6QV","Approved","Tue Sep 25 13:18:37 GMT 2012","Tue Sep 25 13:21:01 GMT 2012","Tue Oct 02 06:21:01 PDT 2012","Tue Sep 25 17:02:21 PDT 2012","","","144","100% (3/3)","100% (3/3)","100% (3/3)","historical event","In which event do different countries from all over the world take part in various sports?"
