bodwat,"What is the body of water separating California and Japan?",
bodwat,"Which Great Lake borders Pennsylvania?",
bodwat,"In what ocean is Hawaii located?",
bodwat,"What is the largest ocean on the planet?",
bodwat,"In what ocean is Australia located?",
bodwat,"What Great Lake is named after a state?",
bodwat,"What body of water is Italy located in?",
bodwat,"What is the body of water bordering Egypt?",
bodwat,"What lake borders Illinois?",
bodwat,"Which Great Lake borders Ohio?",
bodwat,"What is the biggest delta in the world?",
bodwat,"Which two lakes form frontiers of Switzerland?",
bodwat,"Which one of the following rivers originates near Mahabaleshwar ?",
bodwat,"Which is the smallest ocean in the world?",
bodwat,"Which is the world's warmest sea?",
bodwat,"Which is the largest fresh water in the lake?",
bodwat,"Name the five great lakes?",
bodwat,"Which is the shallowest sea in the world?",
bodwat,"Which is the largest ocean in the world?",
bodwat,"Which is the longest river in the world?",
bodwat,"Which is the deepest sea in the world?",
bodwat,"which sea in the world gets the highest number of tides?",
bodwat,"How much do you know about the world's threatened oceans?",
bodwat,"which is the deadliest sea in the world?",
bodwat,"Is sea level of the Atlantic and Pacific oceans the same?",
bodwat,"Why is the sea level higher off the coast of Bermuda than New York?",
bodwat,"What are the causes of current global sea level rise?",
bodwat,"India is connected to which sea?",
bodwat,"How much does sea level rise if all of the world's ice melts?",
bodwat,"What are the causes of local sea level change?",
city,"Where Prado Museum is located?",
animal,"Which animal has the longest neck?",
animal,"Name the animal that has the longest tail",
temp,"How high was the patient's fever?",
temp,"What is the thermostat in your home set to?",
temp,"How cold did the weatherman say it would get tonight?",
temp,"At what point does water freeze?",
temp,"What's the coldest water you've ever been swimming in?",
temp,"What is the minimum warmth that the dishwasher instructions say the water entering during the wash cycle must be?",
temp,"How hot does reheated food need to get to ensure that it is safe to eat?",
temp,"At what point does water boil at altitudes considered very high?",
attraction,"Which was the first tubular steel roller coaster in the world when it opened in 1959 in Disneyland ?",
attraction,"Which is the most famous park in the world?",
attraction,"Which is the largest park in the world?",
attraction,"Where can you walk your dog?",
attraction,"What fun part of your town have you never visited?",
attraction,"What's a good place to spend a rainy Saturday?",
attraction,"What do tourists visit first in your town?",
attraction,"What's a free way to enjoy your town?",
attraction,"What do the town council spend money to build?",
